,battery_power,bluetooth,clock_speed,dual_sim,front_camera,four_g,int_memory,m_dep,mobile_wt,n_cores,primary_camera,px_height,px_width,ram,screen_height,screen_width,talk_time,three_g,touch_screen,wifi,price_range
104,553,no,2.4,yes,1,yes,8,0.5,121,7,3,325.0,902,1204,11,4.0,8,yes,yes,yes,low_cost
105,832,no,0.7,yes,2,yes,39,0.7,103,4,3,125.0,1504,1799,5,2.0,11,yes,no,yes,medium_cost
106,1661,no,1.9,yes,5,no,23,1.0,172,5,10,846.0,1634,2676,12,6.0,11,no,yes,yes,very_high_cost
107,1657,yes,2.4,no,3,no,42,0.1,198,5,16,1770.0,1796,2597,18,1.0,14,yes,no,no,very_high_cost
108,1135,yes,2.0,yes,0,no,46,0.3,83,1,4,293.0,1846,3029,19,17.0,9,yes,yes,yes,very_high_cost
109,1775,yes,1.5,no,3,no,41,0.1,163,1,7,1633.0,1869,2343,19,13.0,14,yes,yes,yes,very_high_cost
110,783,no,1.8,yes,0,yes,43,1.0,106,3,4,1198.0,1471,2016,16,4.0,18,yes,yes,no,medium_cost
111,617,yes,2.3,no,0,no,32,0.5,199,7,20,768.0,874,2213,18,13.0,7,no,no,no,medium_cost
112,867,no,1.4,yes,0,yes,4,0.7,135,6,1,70.0,1974,790,13,6.0,3,yes,yes,no,low_cost
113,1310,yes,1.1,yes,13,no,7,1.0,194,5,14,117.0,513,3182,8,4.0,5,yes,yes,no,high_cost
114,1804,no,0.5,no,9,yes,22,0.6,153,7,19,1158.0,1244,3472,9,1.0,20,yes,no,yes,very_high_cost
115,1900,yes,2.3,no,1,yes,18,0.2,89,7,9,1055.0,1661,2871,12,1.0,13,yes,yes,yes,very_high_cost
116,909,yes,1.4,no,0,no,53,0.3,82,8,0,635.0,973,3187,12,9.0,4,yes,no,no,high_cost
117,1084,yes,2.6,no,3,yes,40,0.9,107,3,11,322.0,771,1945,15,4.0,10,yes,yes,no,medium_cost
118,1308,no,1.3,yes,8,no,46,0.9,199,1,12,275.0,989,488,5,3.0,9,no,yes,no,low_cost
119,1778,no,0.5,no,0,no,15,0.5,102,3,0,1445.0,1954,1214,5,5.616666666666666,14,yes,no,no,medium_cost
120,1701,yes,1.6,yes,3,no,10,0.3,194,8,7,550.0,1338,2598,12,9.0,6,no,yes,no,high_cost
121,772,yes,2.4,yes,1,yes,10,0.5,80,4,2,1242.0,1712,3242,18,11.0,4,yes,yes,no,very_high_cost
122,825,yes,0.5,yes,7,no,52,0.9,130,3,10,597.0,863,3534,10,4.0,6,no,yes,no,very_high_cost
123,1379,no,1.1,no,5,yes,36,0.8,200,2,7,538.0,1376,3426,5,4.0,17,yes,yes,yes,very_high_cost
124,1166,no,2.0,no,3,yes,25,0.8,198,5,4,59.0,1203,2488,13,5.0,15,yes,no,no,high_cost
125,1659,no,2.8,no,5,no,16,0.6,89,1,20,819.0,902,3255,19,14.0,9,no,no,yes,very_high_cost
126,826,yes,2.4,yes,0,yes,58,0.3,88,4,1,179.0,786,2863,9,3.0,18,yes,no,yes,high_cost
127,1564,no,2.3,no,4,yes,25,0.5,189,6,17,1259.0,1965,1496,6,4.0,7,yes,yes,yes,medium_cost
128,1957,no,0.9,yes,11,no,31,0.6,181,3,16,396.0,1732,3801,12,5.616666666666666,7,yes,no,yes,very_high_cost
129,1571,no,1.4,no,0,yes,19,0.1,100,6,1,713.0,1398,666,12,10.0,13,yes,yes,no,low_cost
130,1414,no,2.0,yes,2,no,54,0.8,99,7,3,262.0,829,3799,17,7.0,7,yes,no,yes,very_high_cost
131,1790,no,2.5,yes,9,no,2,0.1,184,1,14,622.0,792,1366,7,5.616666666666666,20,yes,yes,yes,medium_cost
132,645,no,0.5,no,1,no,41,1.0,197,7,10,327.0,580,2962,12,9.0,4,yes,yes,yes,high_cost
133,668,no,2.9,yes,7,no,30,0.2,195,8,12,522.0,1056,2399,10,5.0,7,yes,yes,yes,medium_cost
134,1652,yes,1.1,yes,1,no,36,0.7,89,4,5,313.0,1264,2338,12,8.0,20,no,no,no,high_cost
135,1213,yes,0.5,no,0,no,16,0.5,108,5,0,226.0,1248,2700,12,3.0,9,no,no,yes,high_cost
136,1272,yes,2.5,yes,0,no,22,0.9,133,6,8,605.0,669,2235,19,4.0,4,yes,no,no,medium_cost
137,866,no,0.5,yes,5,yes,46,0.5,179,8,7,692.0,1686,3825,12,11.0,2,yes,yes,yes,very_high_cost
138,536,no,2.4,yes,12,yes,3,0.3,182,7,14,1386.0,1539,284,12,9.0,4,yes,yes,no,low_cost
139,523,no,2.6,yes,1,no,14,0.1,155,8,2,304.0,1042,1427,9,1.0,9,no,yes,no,low_cost
140,1753,no,0.5,yes,0,yes,31,0.1,134,1,18,1590.0,1926,1324,17,5.616666666666666,17,yes,no,yes,high_cost
141,1218,no,1.8,yes,1,yes,14,0.5,147,3,4,229.0,616,398,17,5.616666666666666,5,yes,no,no,low_cost
142,1537,yes,2.5,no,4,yes,43,0.3,137,1,5,839.0,1131,3685,18,17.0,17,yes,yes,yes,very_high_cost
143,786,no,2.2,yes,0,no,33,0.5,141,7,6,507.0,1697,2390,12,11.0,5,yes,no,yes,high_cost
144,1678,no,2.1,no,3,yes,64,0.9,134,3,11,436.0,536,278,19,5.616666666666666,10,yes,yes,no,low_cost
145,1814,no,1.4,yes,1,yes,9,0.4,141,2,2,756.0,786,3556,18,12.0,16,yes,no,no,very_high_cost
146,1101,no,1.8,no,0,no,31,0.2,148,2,7,387.0,1269,2196,12,6.0,19,no,yes,yes,medium_cost
147,1461,no,2.4,yes,3,yes,40,0.5,141,7,4,1265.0,1298,3799,16,1.0,4,yes,no,no,very_high_cost
148,1216,no,3.0,no,4,no,47,0.4,199,3,7,1852.0,1967,2268,13,5.0,4,no,yes,yes,high_cost
149,506,no,1.6,no,6,yes,41,0.8,159,1,7,875.0,1025,2965,13,10.0,15,yes,no,no,high_cost
150,843,yes,0.5,no,1,yes,56,0.1,147,5,17,140.0,800,2341,10,1.0,20,yes,yes,yes,medium_cost
151,742,no,2.2,yes,4,no,56,0.2,190,7,14,577.0,1359,3557,16,11.0,12,no,yes,yes,very_high_cost
152,1692,yes,2.1,no,3,yes,61,0.9,176,6,12,975.0,1996,1354,16,7.0,19,yes,no,no,medium_cost
153,1485,no,1.0,no,2,yes,32,0.7,84,2,9,510.0,1013,2147,19,1.0,11,yes,yes,no,high_cost
154,1547,no,2.9,yes,6,no,45,0.7,166,2,8,583.0,590,505,12,2.0,3,no,yes,yes,low_cost
155,1692,no,2.3,yes,4,yes,46,0.9,139,1,6,674.0,1925,1394,16,10.0,6,yes,yes,no,medium_cost
156,637,no,2.3,no,3,yes,60,0.8,97,4,4,1125.0,1989,374,18,4.0,8,yes,no,yes,low_cost
157,1224,no,0.5,no,16,yes,6,0.4,109,6,18,747.0,826,506,10,5.616666666666666,11,yes,yes,yes,low_cost
158,1356,no,2.8,no,0,no,29,0.5,198,6,0,1612.0,1983,3702,17,5.616666666666666,19,no,no,no,very_high_cost
159,1840,no,0.5,yes,12,no,34,0.7,142,1,16,311.0,1545,1078,8,5.616666666666666,10,no,no,no,medium_cost
160,1481,yes,0.7,yes,4,yes,37,0.6,96,5,13,116.0,1533,2945,10,5.0,16,yes,yes,yes,high_cost
161,961,yes,1.5,yes,10,no,51,0.3,152,6,16,554.0,621,2981,15,6.0,7,yes,yes,yes,high_cost
162,1296,no,0.9,yes,0,yes,14,0.5,124,5,3,811.0,1272,490,7,1.0,4,yes,yes,yes,low_cost
163,1193,no,0.9,no,11,no,26,0.5,166,1,20,730.0,1729,536,17,14.0,4,yes,no,yes,low_cost
164,1441,no,2.1,yes,11,yes,3,0.1,118,8,17,577.0,1071,2317,16,4.0,7,yes,no,yes,high_cost
165,517,no,1.4,yes,3,yes,33,0.8,183,4,8,660.0,974,3704,17,16.0,11,yes,no,yes,very_high_cost
166,748,yes,1.7,no,0,yes,27,0.9,150,8,4,450.0,1554,2126,18,9.0,7,yes,no,no,medium_cost
167,1126,yes,2.4,no,2,yes,10,0.4,160,6,3,1223.0,1611,2050,7,6.0,12,yes,yes,yes,high_cost
168,1572,no,0.6,no,0,yes,58,0.2,157,7,8,1109.0,1937,2462,12,8.0,10,yes,no,no,very_high_cost
169,1569,no,2.8,yes,17,no,44,0.3,110,4,20,45.0,1942,1260,9,2.0,17,yes,no,no,medium_cost
170,1270,yes,0.6,yes,2,yes,32,0.5,101,7,6,299.0,845,3770,5,3.0,13,yes,yes,no,very_high_cost
171,1854,no,3.0,no,2,yes,8,0.1,101,5,5,506.0,627,1886,17,4.0,20,yes,yes,no,medium_cost
172,625,yes,1.2,yes,5,yes,10,0.2,183,4,8,635.0,842,3323,9,1.0,7,yes,yes,yes,high_cost
173,1577,no,0.5,yes,0,yes,42,0.3,197,5,4,1045.0,1737,2060,19,6.0,12,yes,no,no,high_cost
174,534,no,0.5,yes,0,yes,16,1.0,189,5,1,393.0,1199,3926,16,12.0,20,yes,no,no,very_high_cost
175,946,no,1.7,yes,8,yes,25,0.8,143,6,15,650.0,1740,2177,7,5.0,13,yes,yes,yes,high_cost
176,685,no,0.5,no,2,no,29,0.8,93,7,10,433.0,648,728,14,8.0,4,no,no,yes,low_cost
177,1949,no,1.3,yes,0,no,23,0.1,101,5,1,839.0,1136,2478,14,8.0,20,yes,no,no,very_high_cost
178,947,no,0.8,yes,0,yes,22,0.1,197,2,13,1176.0,1220,2842,16,12.0,2,yes,no,no,high_cost
179,801,yes,2.2,yes,2,no,63,0.4,165,7,4,650.0,879,1617,17,4.0,19,no,no,yes,medium_cost
180,703,yes,2.7,no,12,yes,30,0.3,113,1,20,218.0,1065,1472,14,7.0,7,yes,no,no,low_cost
181,1165,yes,2.4,no,11,no,41,0.2,178,6,12,564.0,831,764,19,12.0,15,yes,no,no,low_cost
182,1082,no,0.8,no,0,no,38,0.1,198,8,5,986.0,1191,2337,6,1.0,17,no,yes,yes,high_cost
183,959,yes,2.6,yes,15,no,20,1.0,84,4,19,561.0,1631,3965,16,1.0,6,yes,no,no,very_high_cost
184,1502,yes,1.2,no,0,no,54,0.2,138,5,12,65.0,588,3693,17,14.0,16,yes,yes,no,very_high_cost
185,1380,yes,2.1,yes,1,yes,4,0.8,92,3,13,420.0,500,797,13,2.0,15,yes,yes,no,low_cost
186,1266,no,0.5,no,0,yes,5,0.1,95,6,9,1365.0,1698,1687,11,5.616666666666666,18,yes,no,no,high_cost
187,1934,yes,2.6,yes,0,yes,46,0.1,103,1,17,619.0,1299,2940,13,9.0,2,yes,yes,yes,very_high_cost
188,1905,yes,0.5,no,3,yes,6,0.5,151,1,5,849.0,898,1545,9,5.0,10,yes,yes,no,medium_cost
189,1831,no,1.4,yes,2,no,43,0.9,150,5,5,611.0,1381,3834,17,7.0,13,yes,yes,yes,very_high_cost
190,596,no,1.4,no,8,no,46,0.6,165,1,18,953.0,984,2505,15,4.0,15,yes,yes,no,medium_cost
191,1562,yes,1.3,yes,1,yes,7,0.2,190,5,15,642.0,1533,2243,12,10.0,6,yes,no,no,high_cost
192,1490,yes,0.5,yes,4,yes,64,0.3,150,8,8,1417.0,1464,3600,17,9.0,7,yes,yes,yes,very_high_cost
193,1523,yes,2.4,no,5,yes,57,0.2,117,2,6,247.0,539,3971,18,12.0,10,yes,yes,yes,very_high_cost
194,640,no,0.6,no,0,no,20,0.1,163,4,15,710.0,1179,2844,7,5.0,18,yes,yes,no,high_cost
195,1526,no,2.1,no,1,yes,23,0.2,117,7,8,718.0,751,2227,18,10.0,3,yes,yes,no,high_cost
196,1989,no,2.5,yes,0,yes,41,0.8,94,3,13,1100.0,1497,1665,17,9.0,12,yes,yes,yes,high_cost
197,1308,no,1.9,no,0,yes,61,0.7,106,3,7,59.0,1215,3355,15,2.0,4,yes,no,yes,very_high_cost
198,609,no,0.5,no,3,no,26,0.3,93,4,4,938.0,1948,1866,11,10.0,14,yes,yes,yes,medium_cost
199,1905,no,0.6,yes,9,yes,36,0.4,119,3,20,825.0,1542,1287,13,4.0,16,yes,no,no,medium_cost
200,1703,yes,0.5,no,0,yes,22,0.6,192,1,0,286.0,1235,1046,5,4.0,13,yes,no,yes,low_cost
201,1445,yes,2.4,yes,7,yes,20,0.4,173,7,15,1273.0,1345,1441,7,4.0,13,yes,yes,yes,medium_cost
202,1087,no,1.3,no,0,yes,16,0.3,166,3,9,295.0,589,690,14,6.0,6,yes,no,yes,low_cost
203,671,no,0.9,yes,10,no,30,0.7,105,7,17,852.0,1182,2504,6,4.0,15,yes,no,no,high_cost
204,1472,yes,2.3,no,6,no,61,0.1,168,6,19,710.0,1052,2677,19,15.0,8,yes,no,no,high_cost
205,765,no,0.5,yes,0,yes,47,0.3,115,8,1,1277.0,1429,2243,11,7.0,4,yes,no,yes,high_cost
206,1642,no,0.5,yes,16,yes,8,0.3,171,6,17,129.0,873,2984,13,4.0,17,yes,no,yes,high_cost
207,1265,no,1.5,no,7,no,49,0.7,182,5,16,690.0,836,1362,5,5.616666666666666,12,no,no,yes,medium_cost
208,664,yes,1.1,yes,1,yes,51,0.1,110,7,4,701.0,1478,3629,19,15.0,6,yes,yes,yes,very_high_cost
209,1277,yes,0.5,yes,0,yes,35,0.4,142,6,6,309.0,1460,3559,18,17.0,6,yes,yes,no,very_high_cost
210,1395,no,1.8,yes,0,no,23,0.1,111,3,1,213.0,705,2571,11,5.616666666666666,13,yes,no,yes,high_cost
211,1539,yes,2.6,no,0,no,41,0.1,159,8,0,1112.0,1666,2107,15,9.0,10,yes,no,yes,high_cost
212,1049,yes,2.2,no,9,no,63,0.5,135,5,17,199.0,1077,1022,11,3.0,13,no,no,no,low_cost
213,1827,no,1.7,no,4,yes,39,0.5,128,5,16,55.0,1020,2844,14,9.0,10,yes,yes,no,high_cost
214,903,no,1.0,yes,0,yes,50,0.4,91,1,0,1230.0,1235,711,9,5.0,10,yes,yes,no,low_cost
215,1987,yes,0.5,no,3,yes,53,1.0,181,3,7,1052.0,1516,3117,18,5.0,8,yes,yes,yes,very_high_cost
216,1154,no,1.2,yes,0,yes,49,0.2,181,8,2,541.0,1499,978,5,3.0,7,yes,no,yes,low_cost
217,1336,no,0.9,no,5,yes,17,0.2,194,5,9,55.0,583,1869,13,1.0,16,yes,yes,yes,medium_cost
218,1886,no,0.5,no,0,yes,24,0.4,112,3,1,809.0,1958,1179,16,7.0,20,yes,no,yes,medium_cost
219,1551,no,1.1,no,4,no,51,0.1,88,5,6,1738.0,1995,3844,11,8.0,4,no,yes,no,very_high_cost
220,850,yes,1.6,yes,6,yes,29,0.5,133,5,19,404.0,642,593,19,17.0,10,yes,no,yes,low_cost
221,660,no,0.5,no,5,yes,40,0.5,111,2,10,262.0,1178,588,6,5.0,18,yes,yes,yes,low_cost
